"Baker College of Muskegon","1903 Marquette Ave Muskegon Michigan 49442","49442","@baker.edu",43.2338,-86.1882
"Baker College of Owosso","1020 S Washington St Owosso Michigan 48867","48867","@baker.edu",42.998,-84.1789
"Baker College of Port Huron","3403 Lapeer Road Port Huron Michigan 48060","48060","@baker.edu",42.9795,-82.4476
"Baker University","618 Eighth Street Baldwin City Kansas 66006-0065","66006","@harvey.bakeru.edu",38.7893,-95.2122
"Bakersfield College,"1417 Truxtun Ave Bakersfield CA","93301","@bakersfieldcollege.edu",35.373299,-119.017799
"Baldwin-Wallace College","275 Eastland Rd Berea Ohio 44017-2088","44017","@bw.edu",41.3687,-81.844
"Ball State University","2000 University Ave Muncie Indiana 47306","47306","@bsu.edu",40.2038,-85.4082
"Baltimore City Community College,"82 N Calvert St Baltimore MD","21202","@bccc.edu",39.290298,-76.612503
"Baltimore International College","17 Commerce Street Commerce Exchange Baltimore Maryland 21202-3230","21202","@bic.edu",39.2887,-76.6099
"Bank Street College of Education","610 W 112 St New York New York 10025","10025","@bankstreet.edu",40.7985,-73.9682
"Baptist Missionary Association Theological Seminary,"418 E Rusk St Jacksonville TX","75766","@bmats.edu",31.9636,-95.270302
"Bard College,"248 W 139th St Annandale-On-Hudson NY","10030","@bard.edu",40.818199,-73.943398
"Bard College at Simon's Rock,"81 Elm St Great Barrington MA","01230","@bard.edu",42.195801,-73.362503
"Barnard College","3009 Broadway New York New York 10027-6598","10027","@barnard.edu",40.8095,-73.9631
"Barry University","11300 NE 2nd Ave Miami Florida 33161-6695","33161","@mail.barry.edu",25.8785,-80.1942
"Barstow Community College,"550 E Main St Barstow CA","92311","@barstow.edu",34.898602,-117.021896
"Barton College","200 ACC Drive NE Wilson North Carolina 27893-7000","27893","@bulldogs.barton.edu",35.7143,-77.9174
"Barton County Community College,"1947 Lakin Ave Great Bend KS","67530","@bartonccc.edu",38.364399,-98.764397
"Bastyr University,"7310 NE Bothell Way Kenmore WA","98028","@bastyr.edu",47.7575,-122.242798
"Bates College","2 Andrews Road Lewiston Maine 04240","04240","@bates.edu",44.0974,-70.1883
*"Baton Rouge College,"3439 Florida Blvd Baton Rouge LA","70806",@lsu.edu @ltc.edu ,30.4506,-91.154404
*"Baton Rouge Community College,"3439 Florida Blvd Baton Rouge LA","70806",@brcoxmail.com ,30.4506,-91.154404
"Baton Rouge School of Computers,"3439 Florida Blvd Baton Rouge LA","70806","@brsc.edu",30.4506,-91.154404
*"Bauder College," Atlanta GA","30303",@cengage.com ,33.748901,-84.3881
"Bay Mills Community College,"State Route 221 Brimley MI","49715","@bmcc.edu",46.4053,-84.572197
"Bay Path College","588 Longmeadow Street Longmeadow Massachusetts 01106","01106","@baypath.edu",42.0505,-72.5673
*"Bay State College,"51 Tremont St Boston MA","02108",@cameron.edu @eastbaycollegefund.org @mycollegeoptions.org ,42.358299,-71.060303
"Baylor College of Medicine,"356 Milam St Houston TX","77002","@bcm.edu",29.7631,-95.363098
"Baylor University,"1743 Barnard St Waco TX","76701","@baylor.edu",31.5492,-97.1464
"Beacon College","105 E Main St Leesburg Florida 34748","34748","@beacon.edu",28.7799,-81.8799
"Becker College,"472 Main St Worcester MA","01608","@becker.edu",42.262501,-71.802803
*"Beckfield College,"11595 Springfield Pike Springdale OH","45246","@berea.edu" ,39.2869,-84.485298
*"Beckfield College,"392 Main St Florence KY","41042","@berea.edu" ,38.998901,-84.626701
"Belhaven College","1500 Peachtree St Jackson Mississippi 39202","39202","@belhaven.edu",32.313299,-90.1763
"Bellarmine University","2001 Newburg Rd Louisville Kentucky 40205-0671","40205","@bellarmine.edu",38.2197,-85.7093
"Bellevue College","3000 Landerholm Cir SE Bellevue Washington 98007-6484","98007","@bellevuecollege.edu",47.5845,-122.1477
"Bellevue University","1000 Galvin Rd S Bellevue Nebraska 68005-3098","68005","@bellevue.edu",41.1512,-95.9178
"Bellin College of Nursing,"Us Highway 141 Green Bay WI","54303","@bellincollege.edu",44.519199,-88.019699
"Belmont Abbey College","100 Belmont-Mt Holly Road Belmont North Carolina 28012-1802","28012","@bac.edu",35.2636,-81.0423
"Belmont Technical College,"6 N Market St Saint Clairsville OH","43950","@btc.edu",40.080601,-80.900299
"Belmont University","1900 Belmont Blvd Nashville Tennessee 37212-3757","37212","@mail.belmont.edu",36.134,-86.7955
"Beloit College","700 College St Beloit Wisconsin 53511-5595","53511","@beloit.edu",42.5031,-89.0297
"Bemidji State University","1500 Birchmont Dr Bemidji Minnesota 56601","56601","@bemidjistate.edu",47.5009,-94.8459
"Benedict College","1600 Harden Street Columbia South Carolina 29204-1086","29204","@benedict.edu",34.0112,-81.0213
"Benedictine College","1020 N 2nd St Atchison Kansas 66002-1499","66002","@benedictine.edu",39.5723,-95.1149
"Benedictine University","5700 College Rd Lisle Illinois 60532-0900","60532","@ben.edu",41.7799,-88.0934
"Benjamin Franklin Institute of Technology","41 Berkeley St Boston Massachusetts 02116","02116","@bfit.edu",42.3494,-71.0739
"Bennett College for Women","900 E Washington St Greensboro North Carolina 27401-3239","27401","@bennett.edu",36.069,-79.7783
"Bennington College","One College Drive Bennington Vermont 05201-6003","05201","@bennington.edu",42.8664,-73.2188
"Bentley University,"649 Main St Waltham MA","02451","@bentley.edu",42.3764,-71.236099
*"Berdan Institute,"124 Ryerson Ave Wayne NJ","07470",@yourdomain.com @colliers.com ,40.925301,-74.276901
"Berea College,"419 Chestnut St Berea KY","40403","@mail.berea.edu",37.5686,-84.296402
"Berkeley College","44 Rifle Camp Rd West Paterson New Jersey 07424","07424","@berkeleycollege.edu",40.8858,-74.2115
"Berklee College of Music","1140 Boylston St Boston Massachusetts 02215","02215","@berklee.edu",42.3465,-71.1026
"Berks Technical Institute,"Lake Ave Wyomissing PA","19610",@berks.edu ,40.329399,-75.965599
"Berry College,"44 Robin St NW Mount Berry GA","30165","@berry.edu",34.275002,-85.183296
"Bethany College","335 e swensson st Lindsborg Kansas 67456-1897","67456","@bethanybc.edu",38.5785,-97.673
"Bethany Lutheran College","700 Luther Dr Mankato Minnesota 56001","56001","@blc.edu",44.1564,-93.9915
*"Bethany University,"61 Carbonero Way Scotts Valley CA","95066",,37.051102,-122.013603
"Bethel College","325 Cherry Ave McKenzie Tennessee 38201","38201","@bethel.edu",36.1259,-88.5147
"Bethel University,"312 Wabasha St N Saint Paul MN","55102","@bethel.edu",44.944401,-93.093102
"Bethune-Cookman University","640 Dr Mary McLeod Bethune Blvd Daytona Beach Florida 32114-3099","32114","@cookman.edu",29.2118,-81.0317
"Bevill State Community College,"1220 Main St Sumiton AL","35148","@bscc.edu",33.755562,-87.050003
"Bexley Hall Episcopal Seminary","583 Sheridan Avenue Columbus Ohio 43209-2325","43209","@bexley.edu",39.957,-82.9414
*"Biola University,"15011 Imperial Hwy La Mirada CA","90638",@luke.biola @bubbs.biola @clarkson.edu ,33.917198,-118.011101
"Birmingham Southern College,"481 24th St N Birmingham AL","35203","@bsc.edu",33.520598,-86.802498
"Birthingway College of Midwifery","12113 SE Foster Rd Portland Oregon 97266","97266","@birthingway.edu",45.4828,-122.5609
*"Bismarck State College,"376 N 6th St Bismarck ND","58501",@bsc.nodak @bsc.nodak @bsc.nodak @ndaga.org @bsc.nodak ,46.8083,-100.783302
"Black Hawk College,"495 16th St Moline IL","61265","@bhc.edu",41.506699,-90.514999
"Black Hills State University,"Interstate 90 Bl Spearfish SD","57783","@BHSU.edu",44.490799,-103.858902
"Black River Technical College,"169 W Broadway St Pocahontas AR","72455","@blackrivertech.edu",36.261398,-90.9711
"Blackburn College","700 College Ave Carlinville Illinois 62626","62626","@mail.blackb.edu",39.2787,-89.8769
